Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio
jun-19;Pepino ensalada;Sin especificar;Primera;$/unidad;150;500;290
jun-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;300;203
jul-19;Pepino ensalada;Sin especificar;Primera;$/unidad;166;600;282
jul-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;400;204
ago-19;Pepino ensalada;Sin especificar;Primera;$/unidad;200;600;363
ago-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;300;233
sept-19;Pepino ensalada;Sin especificar;Primera;$/unidad;200;600;340
sept-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;400;238
oct-19;Pepino ensalada;Sin especificar;Primera;$/unidad;200;700;345
oct-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;166;500;251
nov-19;Pepino ensalada;Sin especificar;Primera;$/unidad;150;500;263
nov-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;250;166
dic-19;Pepino ensalada;Sin especificar;Primera;$/unidad;180;600;272
dic-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;350;182
ene-20;Pepino ensalada;Sin especificar;Primera;$/unidad;150;600;283
ene-20;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;300;195
feb-20;Pepino ensalada;Sin especificar;Primera;$/unidad;200;600;280
feb-20;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;400;204
mar-20;Pepino ensalada;Sin especificar;Primera;$/unidad;200;600;301
mar-20;Pepino ensalada;Sin especificar;Segunda;$/unidad;150;400;206
mar-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;200;700;321
mar-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;350;213
mar-19;Pimiento;Zafiro rojo;Primera;$/unidad;200;800;390
mar-19;Pimiento;Zafiro rojo;Segunda;$/unidad;150;500;254
abr-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;166;700;310
abr-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;300;194
abr-19;Pimiento;Zafiro rojo;Primera;$/unidad;200;800;392
abr-19;Pimiento;Zafiro rojo;Segunda;$/unidad;100;450;248
may-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;150;700;294
may-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;500;192
may-19;Pimiento;Zafiro rojo;Primera;$/unidad;200;800;392
may-19;Pimiento;Zafiro rojo;Segunda;$/unidad;150;600;264
jun-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;166;600;285
jun-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;500;200
jun-19;Pimiento;Zafiro rojo;Primera;$/unidad;200;800;385
jun-19;Pimiento;Zafiro rojo;Segunda;$/unidad;125;600;273
jul-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;166;500;300
jul-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;125;350;213
jul-19;Pimiento;Zafiro rojo;Primera;$/unidad;200;800;397
jul-19;Pimiento;Zafiro rojo;Segunda;$/unidad;100;500;262
ago-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;200;700;344
ago-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;150;300;240
ago-19;Pimiento;Zafiro rojo;Primera;$/unidad;200;800;461
ago-19;Pimiento;Zafiro rojo;Segunda;$/unidad;200;400;303
sept-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;200;600;392
