"temperature","Date"
14.5318149094004,"01-07-2021"
18.0479192222608,"02-07-2021"
18.611240460542,"03-07-2021"
9.02804920140188,"04-07-2021"
13.1377753618918,"05-07-2021"
12.8822755632782,"06-07-2021"
15.9515672560316,"07-07-2021"
15.6437557315943,"08-07-2021"
17.042164387228,"09-07-2021"
14.0114874799247,"10-07-2021"
15.3722568754293,"11-07-2021"
19.0420836924855,"12-07-2021"
22.6063295561587,"13-07-2021"
24.0799435610883,"14-07-2021"
21.9782315577613,"15-07-2021"
11.6313297023904,"16-07-2021"
13.8540524389525,"17-07-2021"
13.4917093615816,"18-07-2021"
18.0700510668731,"19-07-2021"
17.6756629726361,"20-07-2021"
11.8543256822508,"21-07-2021"
14.2061480053235,"22-07-2021"
14.5066155187134,"23-07-2021"
14.553843051244,"24-07-2021"
11.9940908248723,"25-07-2021"
12.8940695378697,"26-07-2021"
14.4795186447911,"27-07-2021"
17.5865813489817,"28-07-2021"
21.9576941473642,"29-07-2021"
16.4100073137553,"30-07-2021"
17.9289500066638,"31-07-2021"
14.6489202845562,"01-08-2021"
20.0992562609329,"02-08-2021"
20.8020292928326,"03-08-2021"
21.0181079904968,"04-08-2021"
16.9950708982162,"05-08-2021"
19.6838780389912,"06-08-2021"
20.7619951542094,"07-08-2021"
25.0873484412208,"08-08-2021"
16.3181038625305,"09-08-2021"
17.758585355822,"10-08-2021"
17.4729717171192,"11-08-2021"
16.5881239335705,"12-08-2021"
16.6915801131632,"13-08-2021"
14.0979778408888,"14-08-2021"
17.3948375910008,"15-08-2021"
18.4860918084998,"16-08-2021"
18.7965287410049,"17-08-2021"
11.124103847493,"18-08-2021"
16.2633937313687,"19-08-2021"
24.2244074811554,"20-08-2021"
24.8892613789067,"21-08-2021"
23.5780552298645,"22-08-2021"
15.9076608590316,"23-08-2021"
20.3072090827511,"24-08-2021"
15.7270263203373,"25-08-2021"
16.8388675612863,"26-08-2021"
16.8218004629435,"27-08-2021"
12.2689497092506,"28-08-2021"
18.0967033498455,"29-08-2021"
18.0620338920341,"30-08-2021"
17.3700657864101,"31-08-2021"
13.1598013672954,"01-09-2021"
17.4073777576908,"02-09-2021"
19.7316750781424,"03-09-2021"
21.0882916125748,"04-09-2021"
18.8826817428973,"05-09-2021"
23.4218954517972,"06-09-2021"
