Mes_escrito;Mes;Anio;Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
Marzo;3;2019;mar-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.300;846;519;274.400;;
Marzo;3;2019;mar-19;Coliflor;Sin especificar;Segunda;$/unidad;400;1.000;621;356;87.300;;
Abril;4;2019;abr-19;Coliflor;Sin especificar;Primera;$/unidad;700;1.500;1.115;742;205.200;;
Abril;4;2019;abr-19;Coliflor;Sin especificar;Segunda;$/unidad;500;1.200;811;525;70.200;;
Mayo;5;2019;may-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.400;980;660;112.900;;
Mayo;5;2019;may-19;Coliflor;Sin especificar;Segunda;$/unidad;500;900;721;455;45.200;;
Junio;6;2019;jun-19;Coliflor;Sin especificar;Primera;$/unidad;700;1.400;922;582;126.200;;
Junio;6;2019;jun-19;Coliflor;Sin especificar;Segunda;$/unidad;400;900;677;401;44.230;;
Julio;7;2019;jul-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.500;876;668;22.300;;
Julio;7;2019;jul-19;Coliflor;Sin especificar;Segunda;$/unidad;400;900;664;456;11.500;;
Agosto;8;2019;ago-19;Coliflor;Sin especificar;Primera;$/unidad;600;1.700;1.050;616;62.900;;
Agosto;8;2019;ago-19;Coliflor;Sin especificar;Segunda;$/unidad;400;1.300;722;473;29.000;;
Septiembre;9;2019;sept-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.200;787;515;242.900;;
Septiembre;9;2019;sept-19;Coliflor;Sin especificar;Segunda;$/unidad;400;800;568;337;142.600;;
Octubre;10;2019;oct-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.200;797;542;373.800;;
Octubre;10;2019;oct-19;Coliflor;Sin especificar;Segunda;$/unidad;400;800;580;352;222.570;;
Noviembre;11;2019;nov-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.200;720;489;286.600;;
Noviembre;11;2019;nov-19;Coliflor;Sin especificar;Segunda;$/unidad;350;700;525;342;171.900;;
Diciembre;12;2019;dic-19;Coliflor;Sin especificar;Primera;$/unidad;500;1.200;768;435;335.300;;
Diciembre;12;2019;dic-19;Coliflor;Sin especificar;Segunda;$/unidad;300;800;564;361;171.700;;
Enero;1;2020;ene-20;Coliflor;Sin especificar;Primera;$/unidad;600;1.700;939;641;94.620;;
Enero;1;2020;ene-20;Coliflor;Sin especificar;Segunda;$/unidad;400;1.000;675;536;70.080;;
Febrero;2;2020;feb-20;Coliflor;Sin especificar;Primera;$/unidad;650;2.000;1.213;783;52.400;;
Febrero;2;2020;feb-20;Coliflor;Sin especificar;Segunda;$/unidad;500;1.300;886;612;34.500;;
Marzo;3;2020;mar-20;Coliflor;Sin especificar;Primera;$/unidad;800;2.500;1.410;1.032;86.660;;
Marzo;3;2020;mar-20;Coliflor;Sin especificar;Segunda;$/unidad;600;2.000;1.069;841;50.030;;
Marzo;3;2019;mar-19;Espinaca;Sin especificar;Primera;$/kilo;1.200;2.800;1.793;808;66.800;6680*cuna 10 kilos;8075/cuna 10 kilos
Marzo;3;2019;mar-19;Espinaca;Sin especificar;Segunda;$/kilo;1.000;1.800;1.332;600;4.800;480*cuna 10 kilos;6000/cuna 10 kilos
Abril;4;2019;abr-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.435;451;75.400;7540*cuna 10 kilos;4514/cuna 10 kilos
Abril;4;2019;abr-19;Espinaca;Sin especificar;Segunda;$/kilo;600;1.400;1.067;349;9.900;990*cuna 10 kilos;3485/cuna 10 kilos
